cell_id,altitude_m,horizontal_distance_m,snr_db,realizations,range_rmse_m,azimuth_rmse_deg,elevation_rmse_deg,bias_range_m,bias_azimuth_rad,bias_elevation_rad,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
0,30.0,20.0,-15.0,200,102.42708034384401,41.217153589252135,57.71958018863958,70.5619872453598,-0.007635815477475178,-0.7059845038810285,5540.012807788904,-0.7597241727643891,-14.408237623185748,-0.7597241727643891,0.5200423520019778,-0.040208734041444046,-14.408237623185748,-0.040208734041444046,0.5190291718853406
0,30.0,20.0,-10.0,200,88.36676776336877,32.43400992785196,39.752629074482265,48.190487245359854,-0.05820673055401091,-0.3724084505936123,5513.932245226088,-6.251779729832197,-24.821883793025084,-6.251779729832197,0.3186521010292842,0.014744336505674341,-24.821883793025084,0.014744336505674341,0.3444122396016097
0,30.0,20.0,-5.0,200,16.836119955323,8.5848704125339,8.787768646393483,2.0619872453600085,-0.001134464013796308,-0.015794051179870726,280.60617462311353,0.11993898234455572,-1.7701512983046912,0.11993898234455572,0.022561825959479285,0.006678645084375418,-1.7701512983046912,0.006678645084375418,0.02339154870430927
0,30.0,20.0,0.0,200,1.3940528850941136,0.9307255234493115,0.9162373538295016,-0.16451275463998435,-0.0011780972450961657,-0.0011769186944182353,1.925948743718578,0.0007523772355895954,0.001809923975315624,0.0007523772355895954,0.00026380595655410246,6.542003506600381e-06,0.001809923975315624,6.542003506600381e-06,0.00025561649325833095
0,30.0,20.0,5.0,200,0.7373814484774845,0.49117206760970733,0.5400050061232224,-0.12351275463998451,0.000479965544298433,0.0006993102514756793,0.5311316582914535,-1.982132718345341e-05,-0.0003148609052592803,-1.982132718345341e-05,7.362671919580739e-05,-4.094731647886634e-06,-0.0003148609052592803,-4.094731647886634e-06,8.878296657100053e-05
0,30.0,20.0,10.0,200,0.429520464308233,0.3082207001484453,0.36054951532483154,0.016487245360015414,-8.726646259971549e-05,-0.0005224202249203508,0.18514170854271225,1.0700008479561223e-05,7.612792918246628e-05,1.0700008479561223e-05,2.907642155200198e-05,-1.4848185788598155e-06,7.612792918246628e-05,-1.4848185788598155e-06,3.952372753212485e-05
1,105.0,60.0,-15.0,200,68.75191993906242,42.92414821519468,60.61381180910752,9.147133775521331,0.012828170002158343,-0.7871455644086336,4666.488883417055,4.726618500677706,-7.281181325122537,4.726618500677706,0.563907239403578,-0.03454428127606203,-7.281181325122537,-0.03454428127606203,0.5020871087135015
1,105.0,60.0,-10.0,200,54.79077512221759,31.86769524141964,49.714476663255276,10.639133775521314,-0.010821041362364819,-0.4973336421149748,2903.3546442210845,-2.5359281457427607,-7.902653165988388,-2.5359281457427607,0.3107910811338952,0.010303783722437614,-7.902653165988388,0.010303783722437614,0.5080704454029533
1,105.0,60.0,-5.0,200,16.956023587299917,8.504704580407244,18.665940682066157,-1.1963662244786417,0.006370451769779288,-0.06370658945698354,287.5130087939678,0.209567778783592,0.5318441407391561,0.209567778783592,0.022102909866755314,-2.0152202670807863e-05,0.5318441407391561,-2.0152202670807863e-05,0.10258840407092638
1,105.0,60.0,0.0,200,1.4397534742322537,1.033198915988589,1.0642983365782852,-0.24636622447864426,-0.0006108652381980307,-0.0004384040721890814,2.022305276381893,-0.000766322328608052,-0.0015545709041004693,-0.000766322328608052,0.00032643812993273517,2.3129493532548256e-05,-0.0015545709041004693,2.3129493532548256e-05,0.0003465903326035502
