method,samples,rmse_3d_m,z_rmse_m,p95_error_3d_m,mean_position_nees,coverage_95,visual_update_rate
rf_vision_no_pose_uncertainty,16000,1.5057071410386436,1.1837216441088978,2.8648608229037245,7.786383152505188,0.6890625,0.9908125
range_azimuth_vision,16000,6.389519636138298,3.1133243523578558,16.71672796318058,297.39284201025777,0.79025,1.0
