cell_id,realization,rf_error_3d_m,joint_error_3d_m,rf_error_z_m,joint_error_z_m
0,0,2.544066064500813,2.4847285782153032,2.344040159866033,2.1009735430215146
0,1,1.2287976337490172,1.1399543702557953,0.667284667921507,0.7596615172490946
0,2,0.6648808304361641,0.42335869575102447,0.04473294898944147,0.3808384262408404
0,3,1.4897301614367724,1.281934532668608,1.4849862217329743,0.9446617874292261
0,4,1.1354097636251848,0.8546874943084536,0.10972875734881526,0.2926381007944949
0,5,1.3792985123392905,1.089068790641319,1.3554252795674806,0.7925548713597752
0,6,1.2422605040696768,1.0736575309771912,0.41504161163946307,0.6348944384113474
0,7,0.7778954270145445,0.8693971858169657,0.6227258580113642,0.5547039946568528
0,8,2.3189952258434885,1.2437176614592682,2.0746442295587,1.1833537632785673
0,9,0.4483337728022158,0.4481299519202516,0.17890180749198237,0.2052345612435269
0,10,1.2046768678797262,0.8105982640952701,1.0998400202886067,0.763835951342012
0,11,3.377403095554349,3.3818783261210283,2.6910112221067948,2.850296051107823
0,12,1.0861089455755069,0.4863732451809567,0.8722164216709132,0.4761432277875437
0,13,0.6434762079737144,0.4838239680340103,0.11760232474685495,0.2647152610027901
0,14,0.6652925972727866,0.6775241617738976,0.6122295811456908,0.6186844758040357
0,15,3.2989623562486994,2.2393834869916986,3.1824400242197264,2.1092955403940175
0,16,1.26699768526732,1.2024964847047277,0.7562323544625187,0.9117797124625451
0,17,1.5003702901871816,1.3952770306503064,0.8454756726581074,1.1865940600629163
0,18,0.6522691883472511,0.4328544057883038,0.429120448631501,0.16634763760266136
0,19,1.4430995999580964,1.0640226579130496,0.33773012458951257,0.8098571405071708
0,20,0.26061222696637654,0.24900162971353465,0.24344242025925666,0.1640611860886989
0,21,0.8714812520948552,0.7921456290471399,0.48747885425102666,0.599909080707655
0,22,0.8171949561253301,0.8698961944269179,0.27665014880467353,0.11820804557618558
0,23,1.2431612885459273,0.6490763227600498,1.0718463694167824,0.5678883754330656
0,24,1.3964555552886309,1.2754449318925032,1.3367731356755996,1.177594230121659
0,25,0.49719612883680425,0.3602134905394176,0.07608091799483674,0.3497560962669011
0,26,1.0781240460142894,0.9749964413231166,0.4834271503620293,0.7108331031337335
0,27,1.4310574188739005,1.1638147579397358,0.9765458985624846,1.0144455107818617
0,28,1.5255509612284959,1.3995304811715947,0.8074138532086188,1.0467645402811785
