cell_id,reflections,path_count,minimum_delay_s,maximum_delay_s,delay_spread_s
0,0,1,1.161382741088346e-07,1.161382741088346e-07,0.0
1,0,1,3.990554375832289e-07,3.990554375832289e-07,0.0
2,0,1,3.305862605884613e-07,3.305862605884613e-07,0.0
3,0,1,3.46846491083852e-07,3.46846491083852e-07,0.0
4,0,1,6.118173700997431e-07,6.118173700997431e-07,0.0
5,0,1,5.87321494549542e-07,5.87321494549542e-07,0.0
6,0,1,7.511656576753012e-07,7.511656576753012e-07,0.0
7,0,1,6.738675324413634e-07,6.738675324413634e-07,0.0
