cell_id,reflections,path_count,minimum_delay_s,maximum_delay_s,delay_spread_s
0,1,3,1.161382741088346e-07,2.3139469362831733e-07,1.1525641951948273e-07
1,1,3,3.990554375832289e-07,4.4643101659858075e-07,4.737557901535183e-08
2,1,3,3.305862605884613e-07,3.864487894134072e-07,5.586252882494591e-08
3,1,3,3.46846491083852e-07,4.0044710658548865e-07,5.360061550163664e-08
4,1,3,6.118173700997431e-07,6.437203410314396e-07,3.190297093169647e-08
5,1,3,5.87321494549542e-07,6.204852525115712e-07,3.3163757962029194e-08
6,1,3,7.511656576753012e-07,7.773707011438091e-07,2.6205043468507938e-08
7,1,3,6.738675324413634e-07,7.029601079011627e-07,2.9092575459799264e-08
