cell_id,snr_db,path_count,range_rmse_m,azimuth_rmse_deg,elevation_rmse_deg,range_bias_m,azimuth_bias_deg,elevation_bias_deg,cov_00,cov_01,cov_02,cov_10,cov_11,cov_12,cov_20,cov_21,cov_22
0,-15.0,3,97.47259240883795,40.47128611744381,53.792948647718525,66.2696192828923,-0.9749999999999984,-37.71557303311303,5134.918423115541,-0.6194502409031073,-16.964812136929737,-0.6194502409031073,0.5011566938386532,-0.044349196570818795,-16.964812136929737,-0.044349196570818795,0.450410340109713
0,-10.0,3,82.93769072452031,30.590807442759665,43.267282798335835,45.842619282892336,0.7400000000000002,-22.390573033113036,4801.120402010018,2.231931432699718,-25.046426365233323,2.231931432699718,0.2863250365766606,-0.002742934444803042,-25.046426365233323,-0.002742934444803042,0.4196434066834545
0,-5.0,3,28.922856217351782,12.724140442481763,17.008003261165403,5.881119282892517,-0.3875000000000002,-2.7705730331130254,805.9739173366779,0.35713328404626027,-7.177732239862324,0.35713328404626027,0.0495205651953291,-0.0027095260267786868,-7.177732239862324,-0.0027095260267786868,0.08621012804422098
0,0.0,3,1.5809289570625717,1.0240849574132003,1.1626433186975353,0.472119282892541,-0.12249999999999989,0.7069269668869739,2.287879145728628,-0.0028335069586177615,0.0009787657346705325,-0.0028335069586177615,0.000316478747583553,2.8529181714949313e-06,0.0009787657346705325,2.8529181714949313e-06,0.00026083631939638463
0,5.0,3,0.8521870302017098,0.47302219821060754,0.8631087286694583,0.34161928289254173,-0.012499999999999987,0.6919269668869742,0.612581909547734,-0.0003422687138647123,-5.569266708623121e-06,-0.0003422687138647123,6.845281528184213e-05,-2.1717385141828503e-06,-5.569266708623121e-06,-2.1717385141828503e-06,8.149472692296311e-05
0,10.0,3,0.5534255970024927,0.3409545424246425,0.7535351836524313,0.3716192828925414,-0.02749999999999969,0.684426966886976,0.1690241206030138,6.924308766077796e-05,-0.000181987849140111,6.924308766077796e-05,3.535819912210091e-05,1.052384302026936e-06,-0.000181987849140111,1.052384302026936e-06,3.0423473458597174e-05
1,-15.0,3,66.82765445235992,45.514379595903534,65.5723114141344,10.744183710457094,2.1774999999999998,-48.1861954344003,4372.359714572835,-0.7786772424974673,-2.212627126417798,-0.7786772424974673,0.6327522974490465,-0.0849137034762581,-2.212627126417798,-0.0849137034762581,0.6055055244565842
1,-10.0,3,51.12299037858893,31.974540653463656,40.49201345016779,1.8106837104571216,-0.5474999999999987,-21.4036954344003,2623.398562562796,-4.074798037195553,-1.218187677276946,-4.074798037195553,0.3129053078026858,-0.03209932466281294,-1.218187677276946,-0.03209932466281294,0.3617094518605665
1,-5.0,3,13.654523137304281,9.050276238878014,10.223821136784428,1.2686837104571271,-1.4550000000000018,-1.0461954344003044,185.76527010050128,-0.5613972133397603,-0.08538749287296105,-0.5613972133397603,0.024427707153824984,-0.016937528352210535,-0.08538749287296105,-0.016937528352210535,0.03166551463268337
1,0.0,3,1.832221692805212,2.6565955657570464,1.0966082342583763,0.991683710457126,-2.319999999999998,0.21130456559969482,2.385527386934653,-0.018897618254709196,-0.0012419903285171689,-0.018897618254709196,0.0005128287838037345,-4.165145724822295e-05,-0.0012419903285171689,-4.165145724822295e-05,0.00035448895514676303
1,5.0,3,1.2337552524651645,2.4384933873193093,0.6472161976489745,0.9581837104571264,-2.347499999999999,0.34130456559969435,0.6070713567839148,-0.004565570831247064,-0.00022943624739784073,-0.004565570831247064,0.00013332561051079126,-7.760855870947837e-06,-0.00022943624739784073,-7.760855870947837e-06,9.257920376231211e-05
