cell_id,altitude_m,horizontal_distance_m,snr_db,realization,seed,range_error_m,azimuth_error_deg,elevation_error_deg
0,30.0,20.0,-15.0,0,2032190400,186.7826192828919,-22.999999999999993,-94.44057303311303
0,30.0,20.0,-15.0,1,2032190400,133.58261928289207,36.0,-14.94057303311303
0,30.0,20.0,-15.0,2,2032190400,187.68261928289186,0.49999999999999434,-125.94057303311304
0,30.0,20.0,-15.0,3,2032190400,134.08261928289207,-21.50000000000001,-59.940573033113026
0,30.0,20.0,-15.0,4,2032190400,194.78261928289186,-17.500000000000007,-25.440573033113026
0,30.0,20.0,-15.0,5,2032190400,3.8826192828925272,4.5,-0.4405730331130275
0,30.0,20.0,-15.0,6,2032190400,2.082619282892537,4.5,-0.9405730331130282
0,30.0,20.0,-15.0,7,2032190400,213.28261928289177,-9.99999999999999,-6.440573033113029
0,30.0,20.0,-15.0,8,2032190400,172.38261928289194,6.999999999999997,-129.94057303311305
0,30.0,20.0,-15.0,9,2032190400,-19.917380717107385,-9.499999999999995,-77.44057303311303
0,30.0,20.0,-15.0,10,2032190400,173.18261928289192,-45.49999999999999,-44.440573033113026
0,30.0,20.0,-15.0,11,2032190400,209.3826192828918,-3.500000000000011,-20.44057303311303
0,30.0,20.0,-15.0,12,2032190400,118.78261928289211,33.5,-78.44057303311303
0,30.0,20.0,-15.0,13,2032190400,-5.31738071710744,-4.000000000000005,-6.940573033113024
0,30.0,20.0,-15.0,14,2032190400,1.9826192828925358,2.4999999999999973,7.559426966886978
0,30.0,20.0,-15.0,15,2032190400,63.28261928289231,2.4999999999999973,1.0594269668869747
0,30.0,20.0,-15.0,16,2032190400,194.18261928289186,60.99999999999997,-30.440573033113026
0,30.0,20.0,-15.0,17,2032190400,-10.91738071710742,58.50000000000003,-27.440573033113026
0,30.0,20.0,-15.0,18,2032190400,215.18261928289178,-22.5,-49.440573033113026
0,30.0,20.0,-15.0,19,2032190400,83.08261928289225,59.500000000000014,-59.440573033113026
0,30.0,20.0,-15.0,20,2032190400,90.68261928289222,14.500000000000014,-26.940573033113026
0,30.0,20.0,-15.0,21,2032190400,-5.517380717107436,-1.5000000000000084,0.5594269668869739
0,30.0,20.0,-15.0,22,2032190400,4.282619282892526,-11.499999999999996,1.0594269668869747
0,30.0,20.0,-15.0,23,2032190400,11.382619282892506,2.9999999999999916,-15.940573033113031
0,30.0,20.0,-15.0,24,2032190400,71.5826192828923,-33.5,-70.94057303311303
0,30.0,20.0,-15.0,25,2032190400,4.382619282892527,6.000000000000009,-13.940573033113028
0,30.0,20.0,-15.0,26,2032190400,43.48261928289239,0.9999999999999887,-73.94057303311303
0,30.0,20.0,-15.0,27,2032190400,58.28261928289234,50.999999999999986,-82.44057303311303
0,30.0,20.0,-15.0,28,2032190400,-5.217380717107439,-6.500000000000003,0.5594269668869739
0,30.0,20.0,-15.0,29,2032190400,139.78261928289206,90.0,-8.440573033113026
0,30.0,20.0,-15.0,30,2032190400,51.68261928289236,-19.500000000000007,-96.94057303311304
0,30.0,20.0,-15.0,31,2032190400,-24.81738071710737,-4.999999999999995,1.5594269668869754
0,30.0,20.0,-15.0,32,2032190400,63.982619282892315,9.0,-61.940573033113026
0,30.0,20.0,-15.0,33,2032190400,148.78261928289203,6.000000000000009,-12.940573033113026
0,30.0,20.0,-15.0,34,2032190400,138.48261928289205,46.50000000000001,-86.44057303311303
0,30.0,20.0,-15.0,35,2032190400,215.18261928289178,0.49999999999999434,-129.94057303311305
0,30.0,20.0,-15.0,36,2032190400,150.582619282892,-15.999999999999996,-87.44057303311303
0,30.0,20.0,-15.0,37,2032190400,85.48261928289224,50.500000000000014,-53.940573033113026
0,30.0,20.0,-15.0,38,2032190400,161.18261928289198,-24.000000000000007,-66.94057303311303
0,30.0,20.0,-15.0,39,2032190400,10.082619282892509,0.0,10.559426966886969
0,30.0,20.0,-15.0,40,2032190400,128.78261928289209,-90.0,4.559426966886973
0,30.0,20.0,-15.0,41,2032190400,99.58261928289218,-20.000000000000004,-127.94057303311301
0,30.0,20.0,-15.0,42,2032190400,190.58261928289187,-9.0,-3.4405730331130253
0,30.0,20.0,-15.0,43,2032190400,26.082619282892452,-40.99999999999999,-77.94057303311303
0,30.0,20.0,-15.0,44,2032190400,2.4826192828925358,-2.4999999999999973,-3.940573033113026
0,30.0,20.0,-15.0,45,2032190400,8.68261928289251,6.000000000000009,7.559426966886978
0,30.0,20.0,-15.0,46,2032190400,120.58261928289213,-35.50000000000001,-25.940573033113026
0,30.0,20.0,-15.0,47,2032190400,-14.317380717107405,-30.499999999999986,10.559426966886969
0,30.0,20.0,-15.0,48,2032190400,154.382619282892,-49.00000000000001,-21.940573033113026
0,30.0,20.0,-15.0,49,2032190400,25.88261928289245,90.0,-29.94057303311303
0,30.0,20.0,-15.0,50,2032190400,33.88261928289242,-35.000000000000014,-95.94057303311303
0,30.0,20.0,-15.0,51,2032190400,-5.417380717107438,0.49999999999999434,-1.9405730331130295
0,30.0,20.0,-15.0,52,2032190400,17.08261928289248,35.000000000000014,-39.440573033113026
0,30.0,20.0,-15.0,53,2032190400,151.782619282892,90.0,-12.440573033113026
0,30.0,20.0,-15.0,54,2032190400,157.68261928289198,24.999999999999996,-74.44057303311303
0,30.0,20.0,-15.0,55,2032190400,36.28261928289241,-31.000000000000007,-40.940573033113026
0,30.0,20.0,-15.0,56,2032190400,42.582619282892395,22.999999999999993,-83.94057303311303
0,30.0,20.0,-15.0,57,2032190400,-8.417380717107427,-4.5,-13.440573033113028
0,30.0,20.0,-15.0,58,2032190400,121.9826192828921,9.0,-78.94057303311304
0,30.0,20.0,-15.0,59,2032190400,84.68261928289225,72.99999999999999,-89.94057303311303
0,30.0,20.0,-15.0,60,2032190400,-24.81738071710737,48.000000000000014,-46.440573033113026
0,30.0,20.0,-15.0,61,2032190400,3.782619282892526,-5.4999999999999885,0.5594269668869739
0,30.0,20.0,-15.0,62,2032190400,2.582619282892537,2.0000000000000027,-5.440573033113028
0,30.0,20.0,-15.0,63,2032190400,3.58261928289253,2.9999999999999916,-1.9405730331130295
0,30.0,20.0,-15.0,64,2032190400,156.282619282892,4.000000000000005,-105.44057303311303
0,30.0,20.0,-15.0,65,2032190400,129.98261928289207,-90.0,-117.94057303311303
0,30.0,20.0,-15.0,66,2032190400,37.78261928289241,-45.999999999999986,-107.44057303311303
0,30.0,20.0,-15.0,67,2032190400,214.78261928289177,-18.0,-89.94057303311303
0,30.0,20.0,-15.0,68,2032190400,90.18261928289222,-90.0,-13.940573033113028
0,30.0,20.0,-15.0,69,2032190400,5.082619282892523,-0.9999999999999887,-2.440573033113024
0,30.0,20.0,-15.0,70,2032190400,2.582619282892537,-2.9999999999999916,7.059426966886971
0,30.0,20.0,-15.0,71,2032190400,-9.217380717107424,-2.9999999999999916,-4.440573033113027
0,30.0,20.0,-15.0,72,2032190400,0.9826192828925429,-12.50000000000001,9.059426966886972
0,30.0,20.0,-15.0,73,2032190400,-3.1173807171074444,-1.5000000000000084,5.059426966886967
0,30.0,20.0,-15.0,74,2032190400,172.08261928289193,-83.5,-67.44057303311303
0,30.0,20.0,-15.0,75,2032190400,62.68261928289232,-30.499999999999986,-78.94057303311304
0,30.0,20.0,-15.0,76,2032190400,108.18261928289215,-27.499999999999993,8.059426966886972
0,30.0,20.0,-15.0,77,2032190400,-3.1173807171074444,-9.0,-0.9405730331130282
0,30.0,20.0,-15.0,78,2032190400,51.882619282892364,41.500000000000014,-119.94057303311303
0,30.0,20.0,-15.0,79,2032190400,112.08261928289215,6.500000000000003,-59.440573033113026
