cell_id,altitude_m,horizontal_distance_m,trials,f2_gain_peb,f2_gain_zeb,rf_rmse_3d_m,joint_rmse_3d_m,empirical_gain_3d,rf_z_rmse_m,joint_z_rmse_m,empirical_gain_z,rf_mean_nees,joint_mean_nees,rf_coverage_95,joint_coverage_95
0,30.0,20.0,500,0.15072421706044875,0.06889601876293878,1.3204908412807497,1.1118472963337842,0.15800453772523043,0.9083498066035989,0.8672327527772243,0.04526566035183613,3.191428520439381,3.161414706356604,0.944,0.93
1,105.0,60.0,500,0.46316818153102196,0.31737088233378563,2.682640743333193,1.4646843820893678,0.45401396525816906,1.3925811648173598,0.9958916461705175,0.28485917278571626,3.0828485570144952,3.2043281990800843,0.936,0.934
2,60.0,80.0,500,0.4664573917209335,0.5007284917821226,2.530670108415111,1.3039822221568054,0.4847284844355104,1.5404224914015903,0.7610364483722141,0.5059560265964652,2.9887085535840874,2.834801452557158,0.946,0.95
3,30.0,100.0,500,0.5244594547830131,0.6634080537387795,2.852103732416234,1.2977296793201683,0.544992117723305,1.7849017591430871,0.5571452387240179,0.6878566364394769,3.1232926470356874,2.818231943595531,0.94,0.962
4,120.0,140.0,500,0.563481553747167,0.5937165974937556,4.337730734247317,1.8485751187435209,0.573838204352192,2.635392972109334,1.006373524046735,0.6181315140863994,3.071069570534846,3.0136080525512283,0.948,0.946
5,75.0,160.0,500,0.5966728273017986,0.6617191422271061,4.126867764664335,1.7031675815300162,0.5872977573662224,2.767299577586792,0.9583089159753957,0.6537025034307693,2.7240026999061393,2.7821052020394643,0.958,0.958
6,105.0,200.0,500,0.6147029948132954,0.6662836799523214,5.476089932456182,2.100265672308469,0.6164661833144073,3.4888623281308675,1.2022317069993607,0.6554086708134891,3.018170938921208,2.96199321806739,0.958,0.94
7,30.0,200.0,500,0.6535055787314247,0.7323513503278952,5.178567370201036,1.792381619416928,0.6538846574188053,3.536913286307553,0.9428578377068739,0.7334235358958452,3.0376783072485822,2.9535781960766987,0.948,0.944
