method,samples,rmse_3d_m,z_rmse_m,p95_error_3d_m,mean_position_nees,coverage_95,visual_update_rate
rf_only_full_3d,16000,1.6341400316157704,1.2135556762409805,2.9101716555469994,2.318910629484271,0.9781875,0.9908125
rf_vision_shared_pose,16000,1.5057071552772918,1.1837216574684506,2.864863108034239,3.2356524596901135,0.94225,0.9908125
