cell_id,altitude_m,horizontal_distance_m,snr_db,realization,seed,range_error_m,azimuth_error_deg,elevation_error_deg
0,30.0,20.0,-15.0,0,20310904,-26.055512754639892,43.0,-40.30993247402021
0,30.0,20.0,-15.0,1,20310904,213.94448724535926,-11.000000000000004,-26.309932474020215
0,30.0,20.0,-15.0,2,20310904,107.64448724535964,19.500000000000007,-98.80993247402023
0,30.0,20.0,-15.0,3,20310904,6.64448724535999,-0.49999999999999434,-2.8099324740202154
0,30.0,20.0,-15.0,4,20310904,115.74448724535961,-71.0,-124.30993247402021
0,30.0,20.0,-15.0,5,20310904,189.14448724535936,-8.500000000000005,-23.30993247402021
0,30.0,20.0,-15.0,6,20310904,178.34448724535937,34.49999999999999,-0.3099324740202117
0,30.0,20.0,-15.0,7,20310904,213.94448724535926,-90.0,-93.30993247402021
0,30.0,20.0,-15.0,8,20310904,110.24448724535964,35.50000000000001,-113.8099324740202
0,30.0,20.0,-15.0,9,20310904,-13.155512754639936,-55.50000000000001,-110.30993247402021
0,30.0,20.0,-15.0,10,20310904,168.04448724535942,-4.999999999999995,-49.30993247402021
0,30.0,20.0,-15.0,11,20310904,42.74448724535986,39.499999999999986,-66.30993247402021
0,30.0,20.0,-15.0,12,20310904,-1.2555127546399802,-6.000000000000009,-0.8099324740202124
0,30.0,20.0,-15.0,13,20310904,174.4444872453594,33.00000000000001,-52.309932474020215
0,30.0,20.0,-15.0,14,20310904,184.14448724535936,-9.99999999999999,-39.809932474020215
0,30.0,20.0,-15.0,15,20310904,213.94448724535926,-66.0,-105.30993247402021
0,30.0,20.0,-15.0,16,20310904,6.444487245359994,4.000000000000005,-0.3099324740202117
0,30.0,20.0,-15.0,17,20310904,174.4444872453594,2.4999999999999973,-58.30993247402021
0,30.0,20.0,-15.0,18,20310904,5.044487245359996,-3.500000000000011,-8.30993247402021
0,30.0,20.0,-15.0,19,20310904,21.14448724535994,-67.5,-80.80993247402021
0,30.0,20.0,-15.0,20,20310904,205.2444872453593,40.5,-92.30993247402021
0,30.0,20.0,-15.0,21,20310904,55.944487245359824,65.5,-54.809932474020215
0,30.0,20.0,-15.0,22,20310904,-19.955512754639912,11.999999999999991,-118.80993247402023
0,30.0,20.0,-15.0,23,20310904,-1.5555127546399774,-9.99999999999999,3.690067525979781
0,30.0,20.0,-15.0,24,20310904,5.644487245359997,-12.50000000000001,17.69006752597979
0,30.0,20.0,-15.0,25,20310904,-4.455512754639969,-1.5000000000000084,18.69006752597979
0,30.0,20.0,-15.0,26,20310904,3.84448724536,4.000000000000005,11.190067525979785
0,30.0,20.0,-15.0,27,20310904,-2.155512754639979,-5.4999999999999885,4.690067525979782
0,30.0,20.0,-15.0,28,20310904,87.24448724535971,-32.500000000000014,-47.809932474020215
0,30.0,20.0,-15.0,29,20310904,103.14448724535964,47.0,-96.80993247402021
0,30.0,20.0,-15.0,30,20310904,196.4444872453593,-58.99999999999999,-3.309932474020216
0,30.0,20.0,-15.0,31,20310904,8.644487245359983,-8.00000000000001,-8.30993247402021
0,30.0,20.0,-15.0,32,20310904,166.04448724535942,-6.000000000000009,18.69006752597979
0,30.0,20.0,-15.0,33,20310904,1.0444872453600098,4.999999999999995,-10.309932474020213
0,30.0,20.0,-15.0,34,20310904,211.54448724535928,-6.000000000000009,-35.309932474020215
0,30.0,20.0,-15.0,35,20310904,211.94448724535926,36.999999999999986,-122.30993247402021
0,30.0,20.0,-15.0,36,20310904,0.14448724536001123,4.999999999999995,1.6900675259797913
0,30.0,20.0,-15.0,37,20310904,5.544487245359996,0.9999999999999887,-3.309932474020216
0,30.0,20.0,-15.0,38,20310904,150.94448724535948,11.499999999999996,3.690067525979781
0,30.0,20.0,-15.0,39,20310904,206.8444872453593,-90.0,3.690067525979781
0,30.0,20.0,-15.0,40,20310904,7.844487245359986,-4.5,-3.80993247402021
0,30.0,20.0,-15.0,41,20310904,42.64448724535987,-90.0,-33.309932474020215
0,30.0,20.0,-15.0,42,20310904,45.94448724535985,80.00000000000001,-117.80993247402021
0,30.0,20.0,-15.0,43,20310904,50.84448724535983,28.500000000000007,-41.309932474020215
0,30.0,20.0,-15.0,44,20310904,156.84448724535946,30.499999999999986,-83.30993247402021
0,30.0,20.0,-15.0,45,20310904,-7.555512754639956,-4.5,7.690067525979787
0,30.0,20.0,-15.0,46,20310904,81.14448724535973,20.999999999999993,-49.30993247402021
0,30.0,20.0,-15.0,47,20310904,119.8444872453596,56.5,-60.80993247402022
0,30.0,20.0,-15.0,48,20310904,62.74448724535979,-10.500000000000009,-57.809932474020215
0,30.0,20.0,-15.0,49,20310904,34.444487245359895,0.0,-41.809932474020215
0,30.0,20.0,-15.0,50,20310904,170.04448724535942,-20.499999999999996,-55.809932474020215
0,30.0,20.0,-15.0,51,20310904,-0.9555127546399831,1.5000000000000084,-10.309932474020213
0,30.0,20.0,-15.0,52,20310904,31.044487245359903,-8.500000000000005,2.1900675259797855
0,30.0,20.0,-15.0,53,20310904,152.64448724535947,61.49999999999999,-39.809932474020215
0,30.0,20.0,-15.0,54,20310904,3.84448724536,0.9999999999999887,3.690067525979781
0,30.0,20.0,-15.0,55,20310904,190.54448724535933,6.000000000000009,5.690067525979784
0,30.0,20.0,-15.0,56,20310904,122.04448724535959,-90.0,-30.809932474020215
0,30.0,20.0,-15.0,57,20310904,-0.9555127546399831,-0.49999999999999434,-2.3099324740202145
0,30.0,20.0,-15.0,58,20310904,23.54448724535993,-32.500000000000014,-37.309932474020215
0,30.0,20.0,-15.0,59,20310904,22.344487245359936,-40.5,-93.80993247402021
0,30.0,20.0,-15.0,60,20310904,125.04448724535956,-90.0,-25.309932474020215
0,30.0,20.0,-15.0,61,20310904,3.84448724536,-8.500000000000005,3.190067525979787
0,30.0,20.0,-15.0,62,20310904,4.744487245359998,0.9999999999999887,4.190067525979789
0,30.0,20.0,-15.0,63,20310904,-25.655512754639894,6.000000000000009,-44.309932474020215
0,30.0,20.0,-15.0,64,20310904,110.14448724535961,15.000000000000009,-119.30993247402021
0,30.0,20.0,-15.0,65,20310904,175.1444872453594,18.0,-3.309932474020216
0,30.0,20.0,-15.0,66,20310904,53.84448724535983,58.50000000000003,-40.30993247402021
0,30.0,20.0,-15.0,67,20310904,8.044487245359988,4.999999999999995,3.190067525979787
0,30.0,20.0,-15.0,68,20310904,145.6444872453595,11.499999999999996,-112.80993247402021
0,30.0,20.0,-15.0,69,20310904,81.94448724535972,-27.99999999999999,-71.80993247402021
0,30.0,20.0,-15.0,70,20310904,63.944487245359795,9.0,-62.80993247402021
0,30.0,20.0,-15.0,71,20310904,179.94448724535937,-85.0,-46.809932474020215
0,30.0,20.0,-15.0,72,20310904,147.44448724535948,8.00000000000001,-73.30993247402021
0,30.0,20.0,-15.0,73,20310904,87.74448724535971,36.0,-15.309932474020213
0,30.0,20.0,-15.0,74,20310904,84.44448724535971,-42.00000000000001,-63.809932474020215
0,30.0,20.0,-15.0,75,20310904,200.6444872453593,-33.00000000000001,-71.30993247402021
0,30.0,20.0,-15.0,76,20310904,4.544487245360003,-4.5,-6.309932474020214
0,30.0,20.0,-15.0,77,20310904,-22.855512754639904,-30.499999999999986,-95.8099324740202
0,30.0,20.0,-15.0,78,20310904,117.3444872453596,-38.5,-48.809932474020215
0,30.0,20.0,-15.0,79,20310904,-12.65551275463994,8.500000000000005,-17.80993247402021
0,30.0,20.0,-15.0,80,20310904,23.144487245359933,-57.000000000000014,-49.809932474020215
0,30.0,20.0,-15.0,81,20310904,80.04448724535973,27.499999999999993,-107.30993247402021
0,30.0,20.0,-15.0,82,20310904,185.84448724535935,18.0,2.1900675259797855
0,30.0,20.0,-15.0,83,20310904,69.94448724535977,35.000000000000014,-77.30993247402021
0,30.0,20.0,-15.0,84,20310904,106.34448724535963,13.999999999999995,-126.30993247402021
0,30.0,20.0,-15.0,85,20310904,53.944487245359824,0.9999999999999887,-39.30993247402021
0,30.0,20.0,-15.0,86,20310904,-8.355512754639953,60.99999999999997,-95.30993247402021
0,30.0,20.0,-15.0,87,20310904,17.74448724535995,-7.499999999999991,-78.30993247402021
0,30.0,20.0,-15.0,88,20310904,134.54448724535953,12.50000000000001,-19.30993247402021
0,30.0,20.0,-15.0,89,20310904,194.54448724535933,50.500000000000014,-41.309932474020215
0,30.0,20.0,-15.0,90,20310904,48.544487245359846,90.0,8.190067525979781
0,30.0,20.0,-15.0,91,20310904,51.944487245359824,10.500000000000009,-34.309932474020215
0,30.0,20.0,-15.0,92,20310904,131.74448724535955,-51.5,-56.809932474020215
0,30.0,20.0,-15.0,93,20310904,103.64448724535964,51.5,-46.309932474020215
0,30.0,20.0,-15.0,94,20310904,-26.055512754639892,38.0,-70.80993247402021
0,30.0,20.0,-15.0,95,20310904,77.14448724535974,-19.500000000000007,-23.80993247402021
0,30.0,20.0,-15.0,96,20310904,78.44448724535974,-24.000000000000007,-120.8099324740202
0,30.0,20.0,-15.0,97,20310904,152.94448724535948,44.000000000000014,-35.309932474020215
0,30.0,20.0,-15.0,98,20310904,46.24448724535985,1.5000000000000084,-81.30993247402021
0,30.0,20.0,-15.0,99,20310904,-5.455512754639965,2.0000000000000027,-7.809932474020216
0,30.0,20.0,-15.0,100,20310904,197.4444872453593,-6.999999999999997,-56.809932474020215
0,30.0,20.0,-15.0,101,20310904,84.54448724535972,-18.99999999999999,-113.8099324740202
