altitude_m,horizontal_distance_m,trials,rf_rmse_3d_m,joint_rmse_3d_m,rf_z_rmse_m,joint_z_rmse_m,rf_mean_nees,joint_mean_nees
30.0,20.0,30,1.9736603017405443,1.2403008598312373,1.2979247408472976,0.958938048129537,3.434554222715777,3.292827618821702
60.0,60.0,30,3.9116469607879623,1.5545298853514196,2.166090450363866,0.7853076375192968,2.635390156320803,2.6860594774388757
100.0,100.0,30,5.070802873002033,2.470792348233813,2.736624205118891,1.3452666058846718,2.166222436595611,3.1181993493809625
