timestamp_s,step,fast_step,rf_localization_error_m,joint_localization_error_m,associated,prediction_uncertainty_m,mpc_score,uav_x_m,uav_y_m,uav_z_m,uav_speed_mps,beam_azimuth_rad,beam_elevation_rad,beam_aperture,beam_robust_gain,true_range_evaluation_only_m
0.5,0,0,2.468947400598952,2.318964993036594,1,3.8999504963556926,5.215724228521605,0.0,0.0,48.75,2.5,0.0,0.5235987755982988,4,11.525653349820422,54.08326913195984
0.75,0,1,2.468947400598952,2.318964993036594,1,3.8999504963556926,5.215724228521605,0.0,0.0,48.75,2.5,0.0,0.5235987755982988,4,11.74341213321956,54.08326913195984
1.0,1,0,4.006670794160028,3.8263181021790906,1,3.917148650685946,5.162719971742853,0.0,0.0,47.5,2.5,0.0,0.2617993877991494,4,12.224993322853743,53.939249724697426
1.25,1,1,4.006670794160028,3.8263181021790906,1,3.917148650685946,5.162719971742853,0.0,0.0,47.5,2.5,0.0,0.2617993877991494,4,12.050350217337547,53.939249724697426
1.5,2,0,2.427276197063694,1.1319207372182274,1,3.754804953932762,5.064798483292779,0.0,0.0,46.25,2.5,0.0,0.2617993877991494,4,12.782125743258524,53.94200333655558
1.75,2,1,2.427276197063694,1.1319207372182274,1,3.754804953932762,5.064798483292779,0.0,0.0,46.25,2.5,0.0,0.2617993877991494,4,12.624683397753827,53.94200333655558
2.0,3,0,2.7962030072497117,1.170511758448589,1,2.988812753558159,5.082596579310105,0.0,0.0,45.0,2.5,0.0,0.2617993877991494,4,12.645347351077294,54.06515697111017
2.25,3,1,2.7962030072497117,1.170511758448589,1,2.988812753558159,5.082596579310105,0.0,0.0,45.0,2.5,0.0,0.2617993877991494,4,12.585373258427001,54.06515697111017
2.5,4,0,3.0346007799804897,2.311936577936751,1,2.2048481861750284,5.027735373702453,0.0,0.0,43.75,2.5,-0.2617993877991494,0.2617993877991494,4,12.008563569530013,54.38149435733729
2.75,4,1,3.0346007799804897,2.311936577936751,1,2.2048481861750284,5.027735373702453,0.0,0.0,43.75,2.5,-0.2617993877991494,0.2617993877991494,4,12.008058186567187,54.38149435733729
3.0,5,0,2.8732305082889735,3.1839798949055185,1,1.383077046275139,4.937481607454227,0.0,0.0,42.5,2.5,-0.2617993877991494,0.2617993877991494,4,11.169140162881904,54.82884024227161
3.25,5,1,2.8732305082889735,3.1839798949055185,1,1.383077046275139,4.937481607454227,0.0,0.0,42.5,2.5,-0.2617993877991494,0.2617993877991494,4,11.122210295366116,54.82884024227161
3.5,6,0,2.7167796407839124,0.6369129961542129,1,0.9956001023451487,4.8708676604843255,0.0,0.0,41.25,2.5,-0.2617993877991494,0.0,4,12.63813687485552,55.399066835431704
3.75,6,1,2.7167796407839124,0.6369129961542129,1,0.9956001023451487,4.8708676604843255,0.0,0.0,41.25,2.5,-0.2617993877991494,0.0,4,12.561815346592226,55.399066835431704
4.0,7,0,3.571983422353353,3.1624769796927827,1,0.9076937953631083,4.777013447147047,0.0,0.0,40.0,2.5,-0.2617993877991494,0.0,4,14.397666562101202,56.08344151060935
4.25,7,1,3.571983422353353,3.1624769796927827,1,0.9076937953631083,4.777013447147047,0.0,0.0,40.0,2.5,-0.2617993877991494,0.0,4,14.396220154061345,56.08344151060935
