frame,detections,served_detected,association_correct,visual_update,rf_error_3d_m,fused_error_3d_m,rf_error_z_m,fused_error_z_m
10,21,1,1,1,1.8145790589169914,1.8080405815516343,1.3892214997265093,1.5006726703914959
11,22,1,1,1,2.280764344213644,0.44800076508299336,0.10465080581270891,0.32419782176657175
12,21,1,1,1,1.823229938018956,1.7595204595463307,0.9879970995776723,0.5058859408645829
13,20,1,1,1,2.759858343203227,0.6837619355536616,0.914742297656457,0.021276515026936282
14,20,1,1,1,2.28957111022811,0.7614374162855554,0.6593972303276157,0.13956595912557815
15,19,1,1,1,1.3507481553733653,0.5090699995560969,0.2368282776062287,0.27831757727052076
16,20,1,1,1,1.4938368317946802,1.3051446953043968,0.6595878011050584,0.8315136198071973
17,20,1,1,1,0.5208932534736912,0.631098227914446,0.20608130926974644,0.3710821205769388
18,20,1,1,1,2.49518094575962,0.264256405786275,1.4324254996654673,0.1257457666744436
19,21,1,1,1,2.356745464971736,0.9261575097014542,1.633499685783423,0.8671299852823171
20,21,1,1,1,1.1143314299994223,0.7286786000060177,0.21751178188595133,0.6872685122684865
21,19,0,0,0,0.5455490403504303,0.5455490403504303,0.36185065453874965,0.36185065453874965
22,21,1,1,1,1.354715376902656,1.1925446658743812,0.02130931851373985,0.8159745315020552
23,23,1,0,1,2.345298420033836,2.297653526616895,0.3316608755990962,0.3093783628120259
24,25,1,1,1,1.120664050980864,1.0399672479266844,0.4305849118297367,0.4677631991641804
25,25,1,1,1,0.8094667093579133,0.6953236682318338,0.7670441095804019,0.5676399210786176
26,22,1,1,1,1.1197401739794437,1.097295749636515,0.41120166018523574,0.411133652173842
27,22,1,1,1,3.068488759750424,0.815384118955929,0.41580451221149994,0.18211230515118038
28,21,1,1,1,1.4074427807407432,1.051374673871264,0.20442872201688234,0.3790045783336957
29,25,1,1,1,2.982945785179125,1.6547261572916439,1.3886445637047027,1.1149695807807016
