altitude_m,horizontal_distance_m,range_std_m,aoa_std_deg,attitude_std_deg,peb_rf_m,peb_joint_m,zeb_rf_m,zeb_joint_m,gain_peb,gain_zeb,vision_only_rank,pixel_u,pixel_v
30.0,20.0,0.3,0.5,0.2,0.6092147528311908,0.5406348942745047,0.3710031172415543,0.34202433334094073,0.11257090908907952,0.07810927335617496,2,320.0,304.0
30.0,20.0,0.3,0.5,0.5,0.7331191760353237,0.6772054342005442,0.4040187820696385,0.377582451736569,0.07626828442431222,0.06543341920305276,2,320.0,304.0
30.0,20.0,0.3,0.5,1.0,1.0637047028451059,1.0259684053102363,0.5045952855517446,0.4836876407304731,0.035476290961143464,0.041434483079663034,2,320.0,304.0
30.0,20.0,0.3,0.5,2.0,1.8728276934067263,1.85165521710473,0.7875006704410462,0.7742703904576627,0.011305085020118923,0.01680034123142248,2,320.0,304.0
30.0,20.0,0.3,2.0,0.2,1.5208808849503743,0.5758998156278154,0.7710832916637558,0.34815499769234726,0.6213379881839945,0.5484858750587916,2,320.0,304.0
30.0,20.0,0.3,2.0,0.5,1.574610992407641,0.7056781907099684,0.7875006704410457,0.38314457542844305,0.5518396644551813,0.5134676200162979,2,320.0,304.0
30.0,20.0,0.3,2.0,1.0,1.7531125879403913,1.044981185202766,0.8435298049749683,0.4880419977996306,0.40392808060865,0.4214288636616543,2,320.0,304.0
30.0,20.0,0.3,2.0,2.0,2.3343991990084687,1.862257112152914,1.037826303205482,0.7769980021597904,0.20225421901108268,0.25132172911795,2,320.0,304.0
30.0,20.0,0.3,5.0,0.2,3.6315176651908105,0.5800573396095083,1.7757690640653025,0.3486539481155034,0.8402713705155471,0.8036603096816413,2,320.0,304.0
30.0,20.0,0.3,5.0,0.5,3.654345586257055,0.7090751923727154,1.7829592345742042,0.3835980171984882,0.8059638379469791,0.7848531756868256,2,320.0,304.0
30.0,20.0,0.3,5.0,1.0,3.734735015015198,1.0472781851172521,1.8084050591859853,0.4883980597162772,0.7195843397438492,0.7299288357796793,2,320.0,304.0
30.0,20.0,0.3,5.0,2.0,4.040329380968449,1.8635470134554755,1.9067956790997596,0.7772216984095831,0.5387635913464086,0.5923938223016496,2,320.0,304.0
30.0,20.0,1.0,0.5,0.2,1.131875706545188,1.0964880705722264,0.8761525626299054,0.8642804201168243,0.03126459536884574,0.01355031420263734,2,320.0,304.0
30.0,20.0,1.0,0.5,0.5,1.203105866609714,1.1698748651504343,0.8906352655633134,0.8789587634578755,0.027621011900576087,0.013110307391716296,2,320.0,304.0
30.0,20.0,1.0,0.5,1.0,1.4287993892967603,1.4009322498589387,0.9405404840840433,0.9294911155010629,0.019503885322583674,0.011747892589377485,2,320.0,304.0
30.0,20.0,1.0,0.5,2.0,2.1017810469197684,2.0829371193176165,1.1181043358940599,1.1088257922412614,0.008965694894702917,0.00829845959355764,2,320.0,304.0
30.0,20.0,1.0,2.0,0.2,1.795293476345145,1.114298253449296,1.106602657995639,0.866724813547044,0.37932250736086764,0.21676962613037595,2,320.0,304.0
30.0,20.0,1.0,2.0,0.5,1.841032258655719,1.186584050475858,1.1181043358940599,0.8813624485308192,0.3554789467174924,0.21173505885203175,2,320.0,304.0
30.0,20.0,1.0,2.0,1.0,1.9958466238654362,1.4149154311928953,1.1582497709393726,0.9317644507150153,0.29107005805257125,0.19554100152393852,2,320.0,304.0
30.0,20.0,1.0,2.0,2.0,2.521788972204333,2.092367451420547,1.3065540308862698,1.1107321438404072,0.1702844788033244,0.1498766085571153,2,320.0,304.0
30.0,20.0,1.0,5.0,0.2,3.754719770181648,1.1164526488995679,1.9450850287047514,0.8669253575346202,0.7026535354872688,0.5542995063244546,2,320.0,304.0
30.0,20.0,1.0,5.0,0.5,3.776803101009697,1.188607432434445,1.9516515140140789,0.8815596626426438,0.6852874241400932,0.5483006795462746,2,320.0,304.0
30.0,20.0,1.0,5.0,1.0,3.854639494476825,1.416612719490576,1.9749250259413547,0.9319509991059742,0.6324915153491294,0.5281081626570828,2,320.0,304.0
30.0,20.0,1.0,5.0,2.0,4.151416807153538,2.0935155770518676,2.0653982090225385,1.1108886390987502,0.49571057923058603,0.46214311882042125,2,320.0,304.0
30.0,20.0,3.0,0.5,0.2,3.046496777458852,3.03352700480926,2.511195900654604,2.5070784158176505,0.004257274370206371,0.001639650986958166,2,320.0,304.0
30.0,20.0,3.0,0.5,0.5,3.073672677151995,3.060818060602533,2.5162854994468677,2.5121763565324926,0.004182168337252133,0.0016330193514521372,2,320.0,304.0
30.0,20.0,3.0,0.5,1.0,3.1688274952819366,3.156360430732627,2.5343792022234126,2.5302994431997248,0.003934283127709431,0.0016097666127107854,2,320.0,304.0
30.0,20.0,3.0,0.5,2.0,3.5238449978952207,3.5126381884604942,2.6054978112457965,2.601529583918066,0.003180278769758656,0.0015230207872763536,2,320.0,304.0
30.0,20.0,3.0,2.0,0.2,3.35008636697734,3.0400099667007856,2.6005828156673942,2.507922136127769,0.0925577332372852,0.03563073591865048,2,320.0,304.0
30.0,20.0,3.0,2.0,0.5,3.374818480660994,3.067243340337324,2.6054978112457965,2.513018365261535,0.09113827664693483,0.0354939641803204,2,320.0,304.0
30.0,20.0,3.0,2.0,1.0,3.4617053233912123,3.162591607752693,2.6229761856224787,2.5311354231012175,0.0864064637788108,0.03501395209940335,2,320.0,304.0
30.0,20.0,3.0,2.0,2.0,3.789382485357131,3.518238415992315,2.691754998896946,2.602342681858375,0.07155362922918618,0.03321710819714702,2,320.0,304.0
30.0,20.0,3.0,5.0,0.2,4.700842536460132,3.0408003086744753,3.053165129394888,2.50799145014452,0.353137169541466,0.17856016826656768,2,320.0,304.0
30.0,20.0,3.0,5.0,0.5,4.718499937882427,3.068026666839503,3.0573526408667657,2.5130875387180778,0.349787706425959,0.17801842511513088,2,320.0,304.0
30.0,20.0,3.0,5.0,1.0,4.781029766941485,3.1633513236791186,3.07226144664659,2.5312041014497675,0.3383535602408988,0.17611044977548806,2,320.0,304.0
30.0,20.0,3.0,5.0,2.0,5.023371527840329,3.5189213505503036,3.1311868836425347,2.6024094810271876,0.29949012708937045,0.168874430771828,2,320.0,304.0
30.0,60.0,0.3,0.5,0.2,0.9677357832545513,0.7215036530825892,0.6132051746824416,0.42700903624921027,0.2544414854061397,0.3036441082377625,2,320.0,133.33333333333331
30.0,60.0,0.3,0.5,0.5,1.2297314623885083,1.0470408037934342,0.7786599743251706,0.6423608692917331,0.1485614251425542,0.17504316329032044,2,320.0,133.33333333333331
30.0,60.0,0.3,0.5,1.0,1.889022777297421,1.7755173973714518,1.195315183974582,1.1113480642091145,0.060086824410004576,0.0702468444232973,2,320.0,133.33333333333331
30.0,60.0,0.3,0.5,2.0,3.434105034414293,3.3730004984597883,2.172244581702679,2.1271959603002824,0.01779343827348203,0.020738282319519467,2,320.0,133.33333333333331
30.0,60.0,0.3,2.0,0.2,3.1920630745980825,0.7817527293662083,2.1185739905365315,0.4613980503875465,0.7550948364437817,0.7822129165898535,2,320.0,133.33333333333331
30.0,60.0,0.3,2.0,0.5,3.281004967324712,1.0894329962271179,2.1722445817026745,0.6657168544209923,0.6679575291483245,0.6935350374315666,2,320.0,133.33333333333331
30.0,60.0,0.3,2.0,1.0,3.5806649074117094,1.8008419799717792,2.353956999641398,1.1250093171544364,0.4970649232649024,0.5220773712834089,2,320.0,133.33333333333331
30.0,60.0,0.3,2.0,2.0,4.587573597601551,3.386399588216041,2.9716967695000758,2.1343650337701643,0.2618320957321537,0.2817689019700266,2,320.0,133.33333333333331
30.0,60.0,0.3,5.0,0.2,7.874305669576962,0.7866075269634938,5.245706119222961,0.46400415807969114,0.9001045222307514,0.9115459105916472,2,320.0,133.33333333333331
30.0,60.0,0.3,5.0,0.5,7.910778514237961,1.0929219207576095,5.267610792248429,0.6675257508695785,0.8618439488868828,0.8732773211240514,2,320.0,133.33333333333331
30.0,60.0,0.3,5.0,1.0,8.039688071367516,1.8029547715993284,5.345109025271246,1.1260806638505558,0.7757431935673776,0.7893250336847131,2,320.0,133.33333333333331
30.0,60.0,0.3,5.0,2.0,8.53588042436923,3.387523615072515,5.644471509869834,2.1349299274670734,0.6031430330957523,0.6217661965812089,2,320.0,133.33333333333331
30.0,60.0,1.0,0.5,0.2,1.3588644326022004,1.1960633433942875,0.7470077551520625,0.6036031121842228,0.11980671897942882,0.19197209396928946,2,320.0,133.33333333333331
30.0,60.0,1.0,0.5,0.5,1.5563545449505325,1.4164372364522198,0.8878689968773972,0.7711209285172016,0.08990066495597884,0.13149244851525874,2,320.0,133.33333333333331
30.0,60.0,1.0,0.5,1.0,2.1162247170724715,2.015555017450205,1.2691644452316608,1.1904177921307069,0.04757042048045372,0.062046059828425405,2,320.0,133.33333333333331
30.0,60.0,1.0,0.5,2.0,3.56413767795095,3.505300609449922,2.2137403919015988,2.1695535608778713,0.016508079602259883,0.01996025874821349,2,320.0,133.33333333333331
30.0,60.0,1.0,2.0,0.2,3.3315561937647957,1.233343962514722,2.16110058844513,0.6284012737904251,0.6297994418275165,0.7092216451421414,2,320.0,133.33333333333331
30.0,60.0,1.0,2.0,0.5,3.416868975481713,1.4480553350160328,2.213740391901598,0.7906825723766653,0.5762040202867642,0.6428295859491135,2,320.0,133.33333333333331
30.0,60.0,1.0,2.0,1.0,3.7055581467802843,2.0378988779693357,2.392302981681199,1.203181600459503,0.4500426663821098,0.49706136318320215,2,320.0,133.33333333333331
30.0,60.0,1.0,2.0,2.0,4.685705017754624,3.5181958687756123,3.002162835333421,2.176583124390319,0.2491640307179385,0.2749949806941145,2,320.0,133.33333333333331
30.0,60.0,1.0,5.0,0.2,7.931878073819069,1.2364268686321984,5.263025051170958,0.630317268298468,0.8441192795545734,0.8802366961642658,2,320.0,133.33333333333331
30.0,60.0,1.0,5.0,0.5,7.9680873929274005,1.4506820205932458,5.284857941194996,0.7922061777555098,0.8179384902478738,0.850098869909003,2,320.0,133.33333333333331
30.0,60.0,1.0,5.0,1.0,8.096084503319423,2.039766140623181,5.3621069079267665,1.2041834002751026,0.7480552309221983,0.7754271929015503,2,320.0,133.33333333333331
30.0,60.0,1.0,5.0,2.0,8.589019421280293,3.5192778012930366,5.660570521222434,2.177137063943047,0.5902584883469215,0.6153855771638932,2,320.0,133.33333333333331
30.0,60.0,3.0,0.5,0.2,3.137915318518221,3.0709229103661153,1.4690202810912194,1.4015479717221502,0.021349335897229,0.04593014149467655,2,320.0,133.33333333333331
30.0,60.0,3.0,0.5,0.5,3.2283493413179722,3.163272742715745,1.545416240245998,1.4814275164169286,0.02015785521391553,0.04140549462511396,2,320.0,133.33333333333331
30.0,60.0,3.0,0.5,1.0,3.532478882194268,3.4731055308424885,1.7918645007478073,1.7369785605531645,0.016807843254507626,0.030630630927582454,2,320.0,133.33333333333331
30.0,60.0,3.0,0.5,2.0,4.550063448721303,4.504123928424929,2.5496365471840585,2.511366690373564,0.010096457074523852,0.015009926357057337,2,320.0,133.33333333333331
30.0,60.0,3.0,2.0,0.2,4.370270777905252,3.085634023968415,2.5040678412091575,1.4124050980159442,0.29394900664543855,0.4359557377910633,2,320.0,133.33333333333331
30.0,60.0,3.0,2.0,0.5,4.435650301321043,3.1775563336105317,2.549636547184057,1.4917033653713407,0.28363236103978273,0.41493489845882126,2,320.0,133.33333333333331
30.0,60.0,3.0,2.0,1.0,4.661669355410113,3.4861198827390725,2.706125192255664,1.7457508309275684,0.2521734990292165,0.35488911011082414,2,320.0,133.33333333333331
30.0,60.0,3.0,2.0,2.0,5.473192077153045,4.514166830221254,3.2577571563665093,2.517441974977922,0.17522228955477132,0.22724688976335072,2,320.0,133.33333333333331
30.0,60.0,3.0,5.0,0.2,8.421086021287971,3.086867571094626,5.412895037708846,1.4132585958398574,0.6334359293692975,0.7389089228602412,2,320.0,133.33333333333331
30.0,60.0,3.0,5.0,0.5,8.455200571324642,3.1787542095721264,5.434125822854289,1.492511516898277,0.6240474507071186,0.7253446891823474,2,320.0,133.33333333333331
30.0,60.0,3.0,5.0,1.0,8.57593052005955,3.4872117670759244,5.5092822120523035,1.746441428018159,0.5933721992127672,0.6830001875384817,2,320.0,133.33333333333331
30.0,60.0,3.0,5.0,2.0,9.0427459667476,4.5150101043822675,5.800177465020563,2.5179209271131944,0.5007036445582935,0.5658889848977633,2,320.0,133.33333333333331
30.0,100.0,0.3,0.5,0.2,1.4377942858557904,0.9494679269658013,0.9647910188439801,0.590525424094934,0.33963576270532475,0.3879240036847502,2,320.0,67.69230769230768
30.0,100.0,0.3,0.5,0.5,1.8605888735083613,1.5152649577286106,1.25320321240974,0.9941915600399097,0.18559925875972885,0.20667969073569964,2,320.0,67.69230769230768
30.0,100.0,0.3,0.5,1.0,2.905561179830121,2.697503050161941,1.9634533200446627,1.809156573228226,0.07160686586552775,0.07858437236130823,2,320.0,67.69230769230768
30.0,100.0,0.3,0.5,2.0,5.325811208049582,5.215218304125339,3.604673568243821,3.523005833099947,0.020765457055084743,0.022656069571276555,2,320.0,67.69230769230768
30.0,100.0,0.3,2.0,0.2,5.0932938933683,1.023742183120636,3.514822179292084,0.632138189458105,0.7990019416602692,0.8201507338884998,2,320.0,67.69230769230768
30.0,100.0,0.3,2.0,0.5,5.228401403106534,1.5628776680483212,3.604673568243821,1.0194583228967526,0.7010792501280193,0.7171842876764489,2,320.0,67.69230769230768
30.0,100.0,0.3,2.0,1.0,5.684775813127468,2.724533247878771,3.908746881290212,1.8231637119369644,0.5207316282223142,0.5335682336802611,2,320.0,67.69230769230768
30.0,100.0,0.3,2.0,2.0,7.227631375462493,5.229250488631024,4.941338358744242,3.530219329464549,0.27649181080483554,0.2855742567765194,2,320.0,67.69230769230768
30.0,100.0,0.3,5.0,0.2,12.63480226313846,1.029261817144149,8.736339800354148,0.6350706538632414,0.9185375603267666,0.9273070109020373,2,320.0,67.69230769230768
30.0,100.0,0.3,5.0,0.5,12.689868666632954,1.5664987826405827,8.772874653658542,1.0212792551258314,0.8765551619332694,0.8835867038519776,2,320.0,67.69230769230768
30.0,100.0,0.3,5.0,1.0,12.884613365945553,2.7266120460247234,8.9021323477694,1.8241825471565887,0.7883823155119853,0.7950847644257195,2,320.0,67.69230769230768
30.0,100.0,0.3,5.0,2.0,13.635807304444882,5.230333880698048,9.40140856099779,3.5307456094926923,0.6164265331768726,0.6244450406995218,2,320.0,67.69230769230768
30.0,100.0,1.0,0.5,0.2,1.7254716481123538,1.3459158013548753,1.0029752363447986,0.6510436937574932,0.21997223030161533,0.35088756913866603,2,320.0,67.69230769230768
30.0,100.0,1.0,0.5,0.5,2.090882817429785,1.7905384363705479,1.2828312072416201,1.0312877739668438,0.14364476983384222,0.19608459153067545,2,320.0,67.69230769230768
30.0,100.0,1.0,0.5,1.0,3.0581507107622747,2.8612100072579403,1.9824950326982684,1.8298046674806032,0.06439862587911667,0.07701929270906999,2,320.0,67.69230769230768
30.0,100.0,1.0,0.5,2.0,5.410569750385496,5.301745180568739,3.6150807941558596,3.533653592916973,0.02011332906465222,0.022524310209199698,2,320.0,67.69230769230768
30.0,100.0,1.0,2.0,0.2,5.181857069065379,1.3993027040281905,3.5254946556082696,0.6890111067684396,0.7299611538145775,0.8045632814469375,2,320.0,67.69230769230768
30.0,100.0,1.0,2.0,0.5,5.314713654751909,1.8310069921450758,3.6150807941558596,1.0556670340606258,0.65548341621228,0.7079824506917751,2,320.0,67.69230769230768
30.0,100.0,1.0,2.0,1.0,5.76425849919303,2.8867077127407343,3.9183465641358053,1.8436549392992898,0.4992057151592247,0.5294814000951166,2,320.0,67.69230769230768
30.0,100.0,1.0,2.0,2.0,7.290312428117865,5.315548953104251,4.948935480512563,3.540845397472746,0.2708750131746325,0.28452383115206437,2,320.0,67.69230769230768
30.0,100.0,1.0,5.0,0.2,12.670762732709068,1.4033459617039827,8.740639033956901,0.6917025011355561,0.8892453444747016,0.9208636235350379,2,320.0,67.69230769230768
30.0,100.0,1.0,5.0,0.5,12.725673529381162,1.834098807593099,8.777155991748295,1.057425615175494,0.8558741269482897,0.8795252566811372,2,320.0,67.69230769230768
30.0,100.0,1.0,5.0,1.0,12.919878543930093,2.8886698062476976,8.906351551105729,1.8446624569361145,0.7764166438232635,0.7928823664380171,2,320.0,67.69230769230768
30.0,100.0,1.0,5.0,2.0,13.669134604793241,5.316614759748717,9.40540379491943,3.541370098370238,0.6110496448045523,0.6234749538044077,2,320.0,67.69230769230768
30.0,100.0,3.0,0.5,0.2,3.3131936871302226,3.132329699175476,1.2909336866921168,1.0413492929353703,0.054589017435743334,0.19333633968161493,2,320.0,67.69230769230768
30.0,100.0,3.0,0.5,0.5,3.5173556766729055,3.347540573633168,1.5186198882500481,1.3130517626693485,0.0482791956940695,0.13536509509142672,2,320.0,67.69230769230768
30.0,100.0,3.0,0.5,1.0,4.165607491079279,4.0232477807901645,2.142623861854643,2.002182703913257,0.0341750178320882,0.06554634270703079,2,320.0,67.69230769230768
30.0,100.0,3.0,0.5,2.0,6.105265352446736,6.009035027330421,3.7053150482772943,3.6259148050458507,0.01576185793099877,0.021428742818605663,2,320.0,67.69230769230768
30.0,100.0,3.0,2.0,0.2,5.903527986231864,3.155637504134561,3.6179639336839813,1.0654983641310136,0.46546581781367,0.7054977927748237,2,320.0,67.69230769230768
30.0,100.0,3.0,2.0,0.5,6.020480149623151,3.369359969680318,3.7053150482772934,1.3322850091170257,0.4403502900194395,0.6404394790298755,2,320.0,67.69230769230768
30.0,100.0,3.0,2.0,1.0,6.420800265194291,4.041420717866038,4.001748399811071,2.014848379883276,0.37057367447268724,0.49650798136674457,2,320.0,67.69230769230768
30.0,100.0,3.0,2.0,2.0,7.81976056536067,6.021217540734408,5.01522809541019,3.632923972163404,0.22999975633439457,0.2756213868940151,2,320.0,67.69230769230768
30.0,100.0,3.0,5.0,0.2,12.982612534794729,3.157432483558576,8.778343874595416,1.0672407454706647,0.7567952925425191,0.8784234519953967,2,320.0,67.69230769230768
30.0,100.0,3.0,5.0,0.5,13.036209831710778,3.371041150151453,8.814704632725872,1.3336788932666168,0.741409413190685,0.8486984024041895,2,320.0,67.69230769230768
30.0,100.0,3.0,5.0,1.0,13.225855798015697,4.042822436062103,8.943357781649981,2.0157703338290256,0.6943243221607893,0.7746069895621316,2,320.0,67.69230769230768
30.0,100.0,3.0,5.0,2.0,13.958697677217462,6.022158458856581,9.44045396176479,3.6334353761070797,0.5685730432656635,0.6151206932608303,2,320.0,67.69230769230768
60.0,20.0,0.3,0.5,0.2,0.8015963673178206,0.6381659867589442,0.39539299525315086,0.3652429441592004,0.2038811392143931,0.07625337690832601,2,320.0,400.0
60.0,20.0,0.3,0.5,0.5,1.0743900601451957,0.9586517052077298,0.42652489254126974,0.3987358417801995,0.10772470746967326,0.06515223670886085,2,320.0,400.0
60.0,20.0,0.3,0.5,1.0,1.72685219983039,1.657322422046464,0.5227893551836668,0.5003753565636271,0.04026388465136464,0.04287386190593948,2,320.0,400.0
60.0,20.0,0.3,0.5,2.0,3.2082450958335977,3.171361802995526,0.7992806851397101,0.7848034156400105,0.011496407455268996,0.01811287294796692,2,320.0,400.0
60.0,20.0,0.3,2.0,0.2,2.3809124642829325,0.7105998845629781,0.7831103053691237,0.3683379268796692,0.7015430448523474,0.5296474527862957,2,320.0,400.0
60.0,20.0,0.3,2.0,0.5,2.4860614288105363,1.008320118406148,0.7992806851397101,0.4015727725333181,0.5944106180479289,0.4975822886760672,2,320.0,400.0
60.0,20.0,0.3,2.0,1.0,2.8298773730569566,1.6865390537733906,0.854537792946232,0.5026389535005307,0.40402398003857043,0.41180020632258096,2,320.0,400.0
60.0,20.0,0.3,2.0,2.0,3.9139524807310533,3.1867274836082125,1.0467930756923587,0.7862485747651071,0.18580322594693555,0.24889780700443115,2,320.0,400.0
60.0,20.0,0.3,5.0,0.2,5.8151004936174076,0.7261013502607111,1.78102444581304,0.36856635504158286,0.8751352016946788,0.7930593508090048,2,320.0,400.0
60.0,20.0,0.3,5.0,0.5,5.858937703723358,1.019303897810706,1.7881934850137817,0.4017823058955205,0.8260258174168778,0.7753138520732146,2,320.0,400.0
60.0,20.0,0.3,5.0,1.0,6.012890780218028,1.6931287472641732,1.8135658702626993,0.5028063715454827,0.7184168465466821,0.7227526279634663,2,320.0,400.0
60.0,20.0,0.3,5.0,2.0,6.592850188629521,3.190219903030711,1.911690892776808,0.786355613581271,0.5161091467643567,0.5886596433803909,2,320.0,400.0
60.0,20.0,1.0,0.5,0.2,1.2460163466412173,1.14771765981709,0.9875908164291819,0.9759110657524491,0.0788903669595531,0.011826507985324407,2,320.0,400.0
60.0,20.0,1.0,0.5,0.5,1.4367720770319825,1.3524101049229438,1.000461635425038,0.9889339065479373,0.05871632213462124,0.011522409724589957,2,320.0,400.0
60.0,20.0,1.0,0.5,1.0,1.9728199411145098,1.9122545883375357,1.0451357375448196,1.03410613452207,0.030699888780908575,0.010553273251051466,2,320.0,400.0
60.0,20.0,1.0,0.5,2.0,3.3470638767344045,3.311726994409267,1.2074144332570342,1.1978799610980337,0.01055757631958139,0.00789660277066673,2,320.0,400.0
60.0,20.0,1.0,2.0,0.2,2.5649062677957293,1.1895176316225486,1.1967713860112636,0.9770736043809659,0.5362334887017858,0.18357539643601573,2,320.0,400.0
60.0,20.0,1.0,2.0,0.5,2.6627995470593517,1.3880596028926813,1.207414433257034,0.990081154067734,0.4787217068496285,0.17999890775119975,2,320.0,400.0
