snr_db,trial,range_error_m,azimuth_error_deg,elevation_error_deg
-15.0,0,12.100000000000371,4.5,-10.500000000000009
-15.0,1,8.900000000000325,-4.999999999999995,6.000000000000009
-15.0,2,-14.200000000000003,-29.000000000000004,24.999999999999996
-15.0,3,-11.999999999999972,-1.4999999999999831,4.000000000000005
-15.0,4,-7.199999999999903,0.0,0.9999999999999887
-15.0,5,6.700000000000294,5.4999999999999885,-4.5
-15.0,6,-14.200000000000003,-42.00000000000001,0.49999999999999434
-15.0,7,-3.3999999999998494,2.9999999999999916,2.9999999999999916
-15.0,8,-11.499999999999964,-23.49999999999999,-2.9999999999999916
-15.0,9,-4.899999999999871,0.0,-2.0000000000000027
-15.0,10,5.500000000000277,4.000000000000005,-2.4999999999999973
-15.0,11,-10.199999999999946,0.49999999999999434,-0.9999999999999887
-15.0,12,-5.7999999999998835,1.5000000000000084,-2.9999999999999916
-15.0,13,-1.399999999999821,-2.4999999999999973,-0.49999999999999434
-15.0,14,-1.399999999999821,1.0000000000000142,3.500000000000011
-15.0,15,-12.399999999999977,-43.999999999999986,24.999999999999996
-15.0,16,-14.200000000000003,13.5,3.500000000000011
-15.0,17,-2.4999999999998366,2.4999999999999973,-1.5000000000000084
-15.0,18,4.4000000000002615,-9.0,2.9999999999999916
-15.0,19,5.300000000000274,-0.9999999999999887,-0.49999999999999434
-15.0,20,22.400000000000517,-27.499999999999993,6.500000000000003
-15.0,21,-0.699999999999811,2.0000000000000027,2.0000000000000027
-15.0,22,8.000000000000313,-0.9999999999999887,0.0
-15.0,23,7.000000000000298,-0.9999999999999887,-4.000000000000005
-15.0,24,3.5000000000002487,-4.5,0.49999999999999434
-15.0,25,-7.599999999999909,2.4999999999999973,-2.9999999999999916
-15.0,26,-1.0999999999998167,-2.9999999999999916,2.0000000000000027
-15.0,27,25.800000000000566,-39.500000000000014,-4.000000000000005
-15.0,28,7.000000000000298,1.0000000000000142,-2.9999999999999916
-15.0,29,0.8000000000002103,-0.9999999999999887,-1.5000000000000084
-5.0,0,0.40000000000020464,-1.4999999999999831,1.5000000000000084
-5.0,1,21.80000000000051,-69.00000000000001,-4.999999999999995
-5.0,2,-3.3999999999998494,-0.9999999999999887,0.49999999999999434
-5.0,3,0.3000000000002032,-0.49999999999999434,-2.0000000000000027
-5.0,4,-4.199999999999861,0.49999999999999434,2.0000000000000027
-5.0,5,-2.1999999999998323,0.0,-0.9999999999999887
-5.0,6,1.900000000000226,2.0000000000000027,-1.5000000000000084
-5.0,7,3.9000000000002544,0.0,-0.49999999999999434
-5.0,8,-0.1999999999998039,-0.9999999999999887,-0.49999999999999434
-5.0,9,-2.099999999999831,0.0,-2.0000000000000027
-5.0,10,2.0000000000002274,1.5000000000000084,-0.9999999999999887
-5.0,11,0.7000000000002089,1.0000000000000142,0.49999999999999434
-5.0,12,-1.0999999999998167,1.5000000000000084,0.0
-5.0,13,1.4000000000002188,0.49999999999999434,-0.49999999999999434
-5.0,14,-1.199999999999818,-2.0000000000000027,-0.9999999999999887
-5.0,15,-0.7999999999998124,0.0,0.0
-5.0,16,-0.39999999999980673,1.0000000000000142,0.9999999999999887
-5.0,17,5.200000000000273,-0.49999999999999434,-0.49999999999999434
-5.0,18,-1.199999999999818,-0.9999999999999887,-0.9999999999999887
-5.0,19,-1.4999999999998224,-0.49999999999999434,-0.49999999999999434
-5.0,20,-3.499999999999851,0.0,-0.49999999999999434
-5.0,21,-0.7999999999998124,0.0,2.0000000000000027
-5.0,22,1.200000000000216,0.49999999999999434,0.0
-5.0,23,-2.6999999999998394,1.0000000000000142,0.0
-5.0,24,-1.9999999999998295,1.5000000000000084,-0.49999999999999434
-5.0,25,-0.7999999999998124,0.49999999999999434,0.0
-5.0,26,4.200000000000259,0.0,0.0
-5.0,27,4.200000000000259,0.49999999999999434,-0.49999999999999434
-5.0,28,-2.2999999999998337,-0.49999999999999434,-0.9999999999999887
-5.0,29,0.8000000000002103,0.0,-1.5000000000000084
5.0,0,-0.5999999999998096,0.0,0.49999999999999434
5.0,1,-0.49999999999980815,-0.49999999999999434,-0.49999999999999434
5.0,2,1.8000000000002245,0.0,0.49999999999999434
5.0,3,-1.0999999999998167,0.0,0.0
5.0,4,0.2000000000002018,0.49999999999999434,0.0
5.0,5,1.0000000000002132,0.0,0.0
5.0,6,-1.0999999999998167,0.0,0.49999999999999434
5.0,7,0.8000000000002103,0.0,0.0
5.0,8,-0.5999999999998096,0.49999999999999434,0.49999999999999434
5.0,9,-0.49999999999980815,0.0,0.0
5.0,10,0.10000000000020037,0.49999999999999434,0.0
5.0,11,-0.39999999999980673,0.0,0.0
5.0,12,0.40000000000020464,0.0,0.49999999999999434
5.0,13,1.5000000000002203,0.0,-0.49999999999999434
5.0,14,-1.399999999999821,0.49999999999999434,-0.49999999999999434
5.0,15,0.10000000000020037,0.0,0.49999999999999434
5.0,16,1.200000000000216,0.0,0.49999999999999434
5.0,17,1.4000000000002188,0.49999999999999434,0.49999999999999434
5.0,18,0.10000000000020037,0.0,0.0
5.0,19,-0.2999999999998053,0.0,-0.49999999999999434
5.0,20,-1.899999999999828,0.0,0.0
5.0,21,-1.199999999999818,0.0,0.0
5.0,22,-0.7999999999998124,0.0,0.0
5.0,23,0.40000000000020464,0.49999999999999434,0.49999999999999434
5.0,24,-0.1999999999998039,0.0,0.0
5.0,25,0.9000000000002117,0.0,0.0
5.0,26,1.8000000000002245,-0.49999999999999434,0.0
5.0,27,0.6000000000002075,0.0,0.0
5.0,28,1.9895196601282805e-13,-0.49999999999999434,-0.49999999999999434
5.0,29,1.9895196601282805e-13,-0.49999999999999434,-0.49999999999999434
