timestamp_s,slow_step,fast_step,belief_error_m,prediction_mean_std_m,uav_x_m,uav_y_m,uav_z_m,uav_speed_mps,mpc_score,expected_rate,localization_quality,beam_azimuth_rad,beam_elevation_rad,beam_aperture,beam_robust_gain
0.0,0,0,0.7383450312613673,0.33323705196380615,0.0,0.0,48.75,2.5,4.42837237809243,4.4751862400384494,0.00011431570923462289,-0.2617993877991494,0.7853981633974483,4,15.146561198648117
0.16666666666666666,0,1,0.7383450312613673,0.33323705196380615,0.0,0.0,48.75,2.5,4.42837237809243,4.4751862400384494,0.00011431570923462289,-0.2617993877991494,0.7853981633974483,4,15.159469011025605
0.3333333333333333,0,2,0.7383450312613673,0.33323705196380615,0.0,0.0,48.75,2.5,4.42837237809243,4.4751862400384494,0.00011431570923462289,-0.2617993877991494,0.7853981633974483,4,15.163816324664491
0.5,1,0,0.6321093662864801,0.34879030883312223,0.0,0.0,47.5,2.5,4.398552461335714,4.444944804357834,0.00011888730072754468,-0.2617993877991494,0.7853981633974483,4,15.296909311972986
0.6666666666666666,1,1,0.6321093662864801,0.34879030883312223,0.0,0.0,47.5,2.5,4.398552461335714,4.444944804357834,0.00011888730072754468,-0.2617993877991494,0.7853981633974483,4,15.263717519905432
0.8333333333333333,1,2,0.6321093662864801,0.34879030883312223,0.0,0.0,47.5,2.5,4.398552461335714,4.444944804357834,0.00011888730072754468,-0.2617993877991494,0.7853981633974483,4,15.269084592956428
1.0,2,0,0.6985992782173677,0.3475877394278844,0.0,0.0,46.25,2.5,4.338090978560979,4.384028202224667,0.00012199951602783142,-0.2617993877991494,0.7853981633974483,4,14.728078592758347
1.1666666666666667,2,1,0.6985992782173677,0.3475877394278844,0.0,0.0,46.25,2.5,4.338090978560979,4.384028202224667,0.00012199951602783142,-0.2617993877991494,0.7853981633974483,4,14.728571858220565
1.3333333333333333,2,2,0.6985992782173677,0.3475877394278844,0.0,0.0,46.25,2.5,4.338090978560979,4.384028202224667,0.00012199951602783142,-0.2617993877991494,0.7853981633974483,4,14.744641535415763
1.5,3,0,1.3220662833027843,0.3490016649166743,0.0,0.0,45.0,2.5,4.307076037039383,4.352632026053789,0.00012495423151563464,-0.5235987755982988,0.7853981633974483,4,14.395587679395316
1.6666666666666667,3,1,1.3220662833027843,0.3490016649166743,0.0,0.0,45.0,2.5,4.307076037039383,4.352632026053789,0.00012495423151563464,-0.5235987755982988,0.7853981633974483,4,14.420931684098957
1.8333333333333333,3,2,1.3220662833027843,0.3490016649166743,0.0,0.0,45.0,2.5,4.307076037039383,4.352632026053789,0.00012495423151563464,-0.5235987755982988,0.7853981633974483,4,14.404235280132315
2.0,4,0,1.1228987183228232,0.3497604072093964,0.0,0.0,43.75,2.5,4.212353025576639,4.257655080459642,0.00012428994254469358,-0.5235987755982988,0.7853981633974483,4,14.53677411499342
2.1666666666666665,4,1,1.1228987183228232,0.3497604072093964,0.0,0.0,43.75,2.5,4.212353025576639,4.257655080459642,0.00012428994254469358,-0.5235987755982988,0.7853981633974483,4,14.550603446267614
2.3333333333333335,4,2,1.1228987183228232,0.3497604072093964,0.0,0.0,43.75,2.5,4.212353025576639,4.257655080459642,0.00012428994254469358,-0.5235987755982988,0.7853981633974483,4,14.525347319799167
2.5,5,0,0.9906276893387123,0.35424181520938874,0.0,0.0,42.5,2.5,4.187557775254851,4.23268687171455,0.00012641079204520297,-0.5235987755982988,0.7853981633974483,4,14.050384004078113
2.6666666666666665,5,1,0.9906276893387123,0.35424181520938874,0.0,0.0,42.5,2.5,4.187557775254851,4.23268687171455,0.00012641079204520297,-0.5235987755982988,0.7853981633974483,4,14.015490320902117
2.8333333333333335,5,2,0.9906276893387123,0.35424181520938874,0.0,0.0,42.5,2.5,4.187557775254851,4.23268687171455,0.00012641079204520297,-0.5235987755982988,0.7853981633974483,4,14.005733770950034
