channel,cell_id,range_m,path_count,raw_power_gain,effective_snr_db,range_rmse_m,azimuth_rmse_deg,elevation_rmse_deg
los,0,34.81738071710737,1,3.832598427898633e-08,3.1434773668011875,0.9408018010017162,0.6234981956669916,0.6272391729018533
los,1,119.63381628954248,1,3.2462176051825583e-09,-7.577679517133538,31.67180258173135,19.74816447166673,26.56511528401089
los,2,99.1072651221897,1,4.730142722911228e-09,-5.94271335507255,31.061367806787256,13.822897670170317,13.70865720770136
los,3,103.98196959088628,1,4.2970406818521554e-09,-6.359761150911572,30.933825763246592,17.01796844514644,10.45913509987928
los,4,183.4182379154265,1,1.3810213570803677e-09,-11.289451855748291,79.88203897296005,34.77508087697281,39.23599890005794
los,5,176.0745580712898,1,1.4986225022501355e-09,-10.934533310708304,60.440479284180824,30.171737603260443,26.812141769725752
los,6,225.1938054210195,1,9.16162635672524e-10,-13.071730046909307,94.49580165070614,36.54536564326591,31.96345850467935
los,7,202.02041975998367,1,1.1383997425592193e-09,-12.128507915753584,81.80576846209476,36.17602797433682,25.517478280846046
multipath,0,34.81738071710737,4,6.577992769367144e-08,5.489478113245152,0.8035278519536014,0.49749371855330543,0.800721790211816
multipath,1,119.63381628954248,4,6.241721883751399e-09,-4.738411668055293,12.787842114534431,8.83685464404615,8.745529877953402
multipath,2,99.1072651221897,4,7.621600336809751e-09,-3.87099409037426,12.8976754348988,8.260447929743277,6.806608310014898
multipath,3,103.98196959088628,4,3.95775362932965e-09,-6.716968246143942,32.30891661408339,19.669487792009225,12.33560718679528
multipath,4,183.4182379154265,4,1.966965616473788e-09,-9.753488121344894,67.25573320270921,31.09917603410097,34.394248888203606
multipath,5,176.0745580712898,4,1.6604688272229273e-09,-10.489148536465837,55.81288477153525,28.718722116417364,27.48205729428599
multipath,6,225.1938054210195,4,8.632337548627943e-10,-13.330171662989397,86.42264146270499,38.140546010774415,31.03623023736946
multipath,7,202.02041975998367,4,3.6511000897420436e-10,-17.06721841757535,91.13732143223227,42.51063102330992,31.270696099848404
