condition,mean_snr_db,rf_range_rmse_m,rf_azimuth_rmse_deg,rf_elevation_rmse_deg,rf_only_3d_rmse_m,rf_vision_3d_rmse_m,gain_3d,rf_only_z_rmse_m,rf_vision_z_rmse_m,gain_z,gain_3d_ci_lower,gain_3d_ci_upper
ideal_fixed_0db,0.0,1.4075345161934503,0.7343151571362222,0.7109075452377871,1.6341400316157704,1.5057071552772918,0.07859355615411331,1.2135556762409805,1.1837216574684506,0.024583972006081766,0.0628530106799005,0.09291259959882729
link_budget,-0.5884756241581193,13.589341387131576,6.171009277533835,4.256882880463486,17.72340831950544,17.061954873599262,0.037320894152069996,8.934719054787875,9.085328656711491,-0.016856669023399055,0.011969148365042998,0.047771227529290146
synchronization,-0.5884756241581193,13.554796866392941,6.368065986128056,4.570826411604565,17.81497911332821,16.746071538199224,0.06000049555653346,9.614368872691356,10.027539402772039,-0.042974274812177395,0.0099898309988969,0.09445678484045093
array_calibration,-0.5884756241581193,12.736507619406934,6.33917508180725,4.443155025016254,16.920403521630373,15.65788264837019,0.07461529340279775,9.067141046755749,9.597426350048913,-0.05848428965190761,0.045876412583600104,0.09120591393406638
interference,-0.5884756241581193,12.400676060091786,11.479950988220548,6.6042411533531515,20.16454596436827,16.70945206075755,0.1713449888589626,10.455812499754417,10.080038217569776,0.03593927130899371,0.12637848380275335,0.1869156564786027
